Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,ASV
21d50785c626b827627e97eae3fb5936,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,,ASV490
505f69bb44c1250089091764d508a2bb,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__unclassified_f__Micromonosporaceae,,ASV1438
8b84aed4a66ae281ec4404636c595b8e,d__Bacteria,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__Kapabacteriales,g__Kapabacteriales,s__uncultured_bacterium,ASV3437
6f0f962dd82a4835909ad4ff4d9065ec,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__uncultured_f__Microtrichaceae,s__uncultured_Actinomycetales,ASV2842
897b7bf6a8abc8ac94bb836afc6e3ac1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,,ASV2686
867935845582052d5468d2b5e2c10db6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,,ASV2166
2ea009dda013396b7ffd3d1542d9eb67,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,,ASV2982
652e93dbceed60b10fb39a7404d45e3e,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__F9P41300-M23,f__F9P41300-M23,g__F9P41300-M23,s__uncultured_bacterium,ASV7555
eb31127893c01e38a5d0cc4baf36386d,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__unclassified_f__Rhizobiaceae,,ASV335
09cc1ffa795319aff4a99fa089796d6a,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Methylotenera,,ASV1150
e179b87ce620bf27d644be64185b179e,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__uncultured_f__Microscillaceae,,ASV4869
9e55bd0c112c7a000168549e84084033,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,g__Azospirillum,,ASV1628
ce204df4ceb24c5ced5d7cb44080ba95,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Subgroup_7,f__Subgroup_7,g__Subgroup_7,,ASV3770
d4dd6f73009ef3db675aa86e646d920e,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__uncultured_f__Microscillaceae,,ASV1864
e234fb671ac810da688ea4659bcc3b35,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__JG30-KF-CM45,,ASV5537
836221f9571dff0addb9da3e92f15567,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__SBR1031,g__SBR1031,s__uncultured_Chlorobi,ASV84
bf35a5a5f10433eaf547af055e3dcc1a,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadales,g__Saccharimonadales,,ASV3855
c476e99087a65beebda7af3ae08d962b,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__unclassified_c__Anaerolineae,f__unclassified_c__Anaerolineae,g__unclassified_c__Anaerolineae,,ASV5412
43c135f26c1e59e7e0459341e24afafa,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__uncultured_f__Roseiflexaceae,s__uncultured_Chloroflexi,ASV2204
